id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,30,60,1,1,0.110364,0.110364,0.000000,0.000000,0.000000
1,1,30,60,2,1,0.117438,0.117438,0.000000,0.000000,0.000000
2,2,30,60,3,1,0.106939,0.106939,0.000000,0.000000,0.000000
3,3,30,60,4,1,0.129162,0.129161,0.000000,0.000000,0.000000
4,4,30,60,5,1,0.095154,0.095154,0.000000,0.000000,0.000000
5,5,30,60,6,1,0.103996,0.103995,0.000000,0.000000,0.000000
6,6,30,60,7,1,0.102495,0.102495,0.000000,0.000000,0.000000
7,7,30,60,0,1,0.114263,0.114263,0.000000,0.000000,0.000000
8,8,30,60,1,1,0.000172,0.000171,0.000000,0.000000,0.000000
9,9,30,60,2,1,0.000139,0.000139,0.000000,0.000000,0.000000
10,10,30,60,3,1,0.000160,0.000160,0.000000,0.000000,0.000000
11,11,30,60,4,1,0.000172,0.000172,0.000000,0.000000,0.000000
12,12,30,60,5,1,0.000236,0.000236,0.000000,0.000000,0.000000
13,13,30,60,6,1,0.000164,0.000164,0.000000,0.000000,0.000000
14,14,30,60,7,1,0.000237,0.000237,0.000000,0.000000,0.000000
15,15,30,60,0,1,0.000197,0.000197,0.000000,0.000000,0.000000
16,16,30,60,1,1,0.000161,0.000161,0.000000,0.000000,0.000000
17,17,30,60,2,1,0.000152,0.000152,0.000000,0.000000,0.000000
18,18,30,60,3,1,0.000145,0.000145,0.000000,0.000000,0.000000
19,19,30,60,4,1,0.000146,0.000146,0.000000,0.000000,0.000000
20,20,30,60,5,1,0.000129,0.000129,0.000000,0.000000,0.000000
21,21,30,60,6,1,0.000130,0.000130,0.000000,0.000000,0.000000
22,22,30,60,7,1,0.000152,0.000152,0.000000,0.000000,0.000000
23,23,30,60,0,1,0.000211,0.000211,0.000000,0.000000,0.000000
24,24,30,60,1,1,0.000175,0.000175,0.000000,0.000000,0.000000
25,25,30,60,2,1,0.000126,0.000126,0.000000,0.000000,0.000000
26,26,30,60,3,1,0.000133,0.000133,0.000000,0.000000,0.000000
27,27,30,60,4,1,0.000167,0.000167,0.000000,0.000000,0.000000
28,28,30,60,5,1,0.000153,0.000153,0.000000,0.000000,0.000000
29,29,30,60,6,1,0.000129,0.000129,0.000000,0.000000,0.000000
30,30,30,60,7,1,0.000152,0.000152,0.000000,0.000000,0.000000
31,31,30,60,0,1,0.000200,0.000200,0.000000,0.000000,0.000000
32,32,30,60,1,1,0.000156,0.000155,0.000000,0.000000,0.000000
